"_wks_percentile_bucket","_wkshell","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","GO","IsSingleNode","layers_ppin","name","NeighborhoodConnectivity","noefftarg","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Phenotype","Radiality","selected","SelfLoops","shared name","shells_ppin","Stress","targ","TopologicalCoefficient","Yali_pheno","Yali_pheno111"
"5","2","7.39907728","0.0","0.13515199","0.0","1","11","","false","Peripharal","AT4G20380","3.0","","1","0","0","4CND","0.4182657","false","0","AT4G20380","47","0","","0.0","",""
"35","14","5.02768166","6.8517E-4","0.19889883","0.0","3","9","","false","","HOPD1_group","7.0","","3","0","0","","0.63384712","false","0","HOPD1_group",,"5650","","0.54545455","",""
"85","47","4.98846597","0.0","0.20046243","0.0","1","9","","false","inner","AT4G18205","103.0","","1","0","0","","0.63741218","false","0","AT4G18205","2","0","","0.0","",""
"20","6","4.94232987","0.0","0.20233372","0.0","1","8","","false","Peripharal","AT4G17710","11.0","","1","0","0","","0.64160638","false","0","AT4G17710","47","0","EffeTarg","0.0","",""
"30","13","4.48212226","0.00350857","0.22310859","0.0","2","8","","false","Peripharal","AT4G32190","14.0","","2","0","0","","0.68344343","false","0","AT4G32190","29","21378","EffeTarg","0.5","",""
"15","5","5.69434833","0.0","0.17561272","0.0","1","9","","false","Peripharal","AT4G16380","8.0","","1","0","0","","0.57324106","false","0","AT4G16380","47","0","EffeTarg","0.0","",""
"85","47","4.98846597","0.0","0.20046243","0.0","1","9","","false","inner","AT4G14950","103.0","","1","0","0","","0.63741218","false","0","AT4G14950","2","0","","0.0","",""
"85","47","4.98846597","0.0","0.20046243","0.0","1","9","","false","inner","AT4G14730","103.0","","1","0","0","","0.63741218","false","0","AT4G14730","2","0","","0.0","",""
"85","47","4.98846597","0.0","0.20046243","0.0","1","9","","false","inner","AT4G14455","103.0","","1","0","0","","0.63741218","false","0","AT4G14455","2","0","","0.0","",""
"85","47","4.98846597","0.0","0.20046243","0.0","1","9","","false","inner","AT4G14160","103.0","","1","0","0","","0.63741218","false","0","AT4G14160","2","0","","0.0","",""
"25","9","5.02998847","4.3885E-4","0.19880761","0.0","2","9","","false","Peripharal","AT4G11320","7.5","","2","0","0","","0.63363741","false","0","AT4G11320","37","3632","","0.59090909","",""
"10","3","1.33333333","0.66666667","0.75","0.0","2","2","","false","Peripharal","AT5G51700","1.5","","2","0","0","4CND","0.88888889","false","0","AT5G51700","47","4","","0.5","",""
"5","2","2.0","0.0","0.5","0.0","1","3","","false","Peripharal","AT4G11260","2.0","","1","0","0","4CND","0.66666667","false","0","AT4G11260","47","0","","0.0","",""
"0","1","1.0","0.0","1.0","0.0","1","1","","false","","AvrRps4_Pph 1448A","1.0","","1","0","0","","1.0","false","0","AvrRps4_Pph 1448A",,"0","","0.0","",""
"0","1","1.0","0.0","1.0","0.0","1","1","","false","Peripharal","AT4G11070","1.0","","1","0","0","","1.0","false","0","AT4G11070","59","0","EffeTarg","0.0","",""
"5","2","5.40253749","0.0","0.18509821","0.0","1","8","","false","Peripharal","AT4G10930","3.0","","1","0","0","","0.59976932","false","0","AT4G10930","47","0","","0.0","",""
"25","8","4.82352941","0.0","0.20731707","0.0","1","8","","false","Peripharal","AT4G10840","15.0","","1","0","0","","0.65240642","false","0","AT4G10840","38","0","","0.0","",""
"85","47","4.98846597","0.0","0.20046243","0.0","1","9","","false","inner","AT4G10430","103.0","","1","0","0","","0.63741218","false","0","AT4G10430","2","0","","0.0","",""
"55","22","5.66435986","0.0","0.17654246","0.0","1","9","","false","inner","AT4G10400","43.0","","1","0","0","","0.57596729","false","0","AT4G10400","18","0","","0.0","",""
"25","7","5.33102653","0.0","0.18758113","0.0","1","8","","false","Peripharal","HARXL65","13.0","","1","0","0","","0.60627032","false","0","HARXL65","44","0","","0.0","",""
"40","17","4.73471742","0.00100992","0.21120585","0.0","4","8","","false","Peripharal","AT5G56950","7.0","","4","0","0","4CND","0.66048023","false","0","AT5G56950","27","7772","EffeTarg","0.28571429","",""
"5","2","6.77970012","0.0","0.14749915","0.0","1","10","","false","Peripharal","AT4G08500","2.0","","1","0","0","","0.47457272","false","0","AT4G08500","47","0","","0.0","",""
"15","5","5.27566321","0.0","0.18954963","0.0","1","8","","false","Peripharal","AT4G08150","9.0","","1","0","0","2MRP","0.61130334","false","0","AT4G08150","47","0","EffeTarg","0.0","",""
"35","14","4.57670127","0.0","0.21849798","0.0","1","8","","false","Peripharal","HARXLL517_WACO9","26.0","","1","0","0","","0.67484534","false","0","HARXLL517_WACO9","27","0","","0.0","",""
"35","14","4.57670127","0.0","0.21849798","0.0","1","8","","false","Peripharal","AT5G55220","26.0","","1","0","0","","0.67484534","false","0","AT5G55220","27","0","","0.0","",""
"35","14","4.57670127","0.0","0.21849798","0.0","1","8","","false","Peripharal","AT5G09790","26.0","","1","0","0","2MRP","0.67484534","false","0","AT5G09790","27","0","","0.0","",""
"30","14","4.57670127","0.0","0.21849798","0.0","1","8","","false","Peripharal","AT4G26640","26.0","","1","0","0","","0.67484534","false","0","AT4G26640","27","0","","0.0","",""
"85","47","4.98846597","0.0","0.20046243","0.0","1","9","","false","inner","AT4G03410","103.0","","1","0","0","","0.63741218","false","0","AT4G03410","3","0","","0.0","",""
"20","6","5.05190311","0.0","0.19794521","0.0","1","8","","false","Peripharal","AT4G03150","10.0","","1","0","0","2MRP","0.63164517","false","0","AT4G03150","47","0","","0.0","",""
"25","9","4.65513264","0.00516517","0.21481665","0.0","2","9","","false","Peripharal","AT5G43740","7.5","","2","0","0","","0.66771521","false","0","AT5G43740","35","26804","","0.5","",""
"30","12","5.12456747","0.0","0.19513842","0.0","1","8","","false","Peripharal","AT5G65940","23.0","","1","0","0","4CND","0.62503932","false","0","AT5G65940","34","0","","0.0","",""
"30","12","5.12456747","0.0","0.19513842","0.0","1","8","","false","Peripharal","AT5G55190","23.0","","1","0","0","","0.62503932","false","0","AT5G55190","34","0","","0.0","",""
"30","12","5.12456747","0.0","0.19513842","0.0","1","8","","false","Peripharal","AT5G20010","23.0","","1","0","0","","0.62503932","false","0","AT5G20010","34","0","","0.0","",""
"30","12","5.12456747","0.0","0.19513842","0.0","1","8","","false","Peripharal","AT5G16080","23.0","","1","0","0","","0.62503932","false","0","AT5G16080","34","0","","0.0","",""
"30","12","5.12456747","0.0","0.19513842","0.0","1","8","","false","Peripharal","AT5G15170","23.0","","1","0","0","2MRP","0.62503932","false","0","AT5G15170","34","0","","0.0","",""
"30","12","5.12456747","0.0","0.19513842","0.0","1","8","","false","Peripharal","AT4G32960","23.0","","1","0","0","","0.62503932","false","0","AT4G32960","34","0","","0.0","",""
"45","18","4.51557093","0.00106151","0.22145594","0.0","3","8","","false","inner","AT4G16143","18.66666667","","3","0","0","","0.68040264","false","0","AT4G16143","22","7802","EffeTarg","0.36805556","",""
"30","12","5.12456747","0.0","0.19513842","0.0","1","8","","false","Peripharal","AT4G15700","23.0","","1","0","0","","0.62503932","false","0","AT4G15700","34","0","","0.0","",""
"25","7","4.61245675","0.0","0.2168042","0.0","1","8","","false","Peripharal","AT4G01920","13.0","","1","0","0","","0.67159484","false","0","AT4G01920","46","0","EffeTarg","0.0","",""
"85","47","4.98846597","0.0","0.20046243","0.0","1","9","","false","inner","AT4G01430","103.0","","1","0","0","","0.63741218","false","0","AT4G01430","3","0","","0.0","",""
"10","3","5.78316032","0.0","0.17291584","0.0","1","9","","false","Peripharal","AT5G14600","4.0","","1","0","0","","0.56516724","false","0","AT5G14600","47","0","","0.0","",""
"15","4","5.78085352","0.00230681","0.17298484","0.0","2","9","","false","Peripharal","AT4G26070","2.5","","2","0","0","4CND","0.56537695","false","0","AT4G26070","47","5802","","0.5","",""
"60","27","4.29757785","9.0162E-4","0.23268921","0.0","4","8","","false","inner","AT5G58300","12.25","","4","0","0","","0.7002202","false","0","AT5G58300","14","13292","","0.40178571","",""
"25","7","5.3633218","0.0","0.18645161","0.0","1","8","","false","Peripharal","AT5G48500","13.0","","1","0","0","","0.60333438","false","0","AT5G48500","45","0","","0.0","",""
"65","28","4.2260669","0.00309166","0.23662664","0.0","4","7","","false","inner","AT5G16590","13.0","","4","0","0","","0.70672119","false","0","AT5G16590","13","41728","","0.38709677","",""
"0","1","1.0","0.0","1.0","0.0","1","1","","false","","AVRRPT2_group","1.0","","1","0","0","","1.0","false","0","AVRRPT2_group",,"0","","0.0","",""
"0","1","1.0","0.0","1.0","0.0","1","1","","false","Peripharal","AT4G00710","1.0","","1","0","0","4CND","1.0","false","0","AT4G00710","61","0","EffeTarg","0.0","",""
"30","14","4.57670127","0.0","0.21849798","0.0","1","8","","false","Peripharal","AT3G61310","26.0","","1","0","0","","0.67484534","false","0","AT3G61310","27","0","","0.0","",""
"25","10","4.48673587","0.0","0.22287918","0.0","1","8","","false","Peripharal","AT3G61200","19.0","","1","0","0","2MRP","0.68302401","false","0","AT3G61200","35","0","EffeTarg","0.0","",""
"85","47","4.98846597","0.0","0.20046243","0.0","1","9","","false","inner","AT3G60590","103.0","","1","0","0","","0.63741218","false","0","AT3G60590","3","0","","0.0","",""
"5","2","5.87081892","0.0","0.17033399","0.0","1","9","","false","Peripharal","AT4G13000","2.0","","1","0","0","","0.55719828","false","0","AT4G13000","47","0","","0.0","",""
"15","5","4.87197232","0.00230681","0.20525568","0.0","2","8","","false","Peripharal","AT3G59350","3.0","","2","0","0","","0.64800252","false","0","AT3G59350","47","6030","","0.5","",""
"55","22","5.66435986","0.0","0.17654246","0.0","1","9","","false","inner","AT3G59200","43.0","","1","0","0","","0.57596729","false","0","AT3G59200","18","0","","0.0","",""
